지점명,위도,경도
강정고령,35.84345128,128.453838
합천창녕,35.58620267,128.3563734
달성,35.73029438,128.4225734
창녕함안,35.37431797,128.5569404
칠곡,36.00246686,128.3958621
이포,37.40212569,127.5387931
여주,37.33553383,127.5982684
강천,37.24939517,127.6820836
죽산,34.96980237,126.6275381
승촌,35.06313784,126.765104
백제,36.29263142,126.9180642
공주,36.43829187,127.0617692
세종,36.45596445,127.2375575
낙단,36.33116633,128.2841022
구미,36.23089996,128.3476662
상주,36.4302443,128.2456226
