지점명,위도,경도
영천댐,36.06398894,129.01390564
수어댐,35.03144998,127.71698587
대암댐,35.54297018,129.18382885
사연댐,35.57972578,129.19593358
광동댐,37.34281249,128.94818408
안계댐,36.00572718,129.26113235
달방댐,37.50575489,129.03771666
운문댐,35.72290225,128.91748177
대곡댐,35.61910851,129.17672064
감포댐,35.84811111,129.51300903
연초댐,34.93904967,128.66341942
구천댐,34.82218369,128.63675522
선암댐,35.51303185,129.33190207
평림댐,35.28960880,126.68283536
