date,platform,abs_orbit,rel_orbit,orbit_state,kp_pct,sk_pct,jeju_pct,id
2026-08-11,SENTINEL-1C,8953,105,descending,13.9,0.0,0.0,S1C_IW_GRDH_1SDV_20260811T214655_20260811T214720_008953_011C34_B808_COG
2026-08-09,SENTINEL-1D,4047,156,ascending,29.3,0.0,0.0,S1D_IW_GRDH_1SDV_20260809T091614_20260809T091644_004047_0075E2_226A_COG
2026-08-08,SENTINEL-1C,8909,61,descending,24.0,11.1,0.0,S1C_IW_GRDH_1SDV_20260808T212357_20260808T212419_008909_011AC7_2230_COG
2026-08-08,SENTINEL-1C,8909,61,descending,47.3,38.1,0.0,S1C_IW_GRDH_1SDV_20260808T212332_20260808T212357_008909_011AC7_3BAE_COG
2026-08-08,SENTINEL-1C,8909,61,descending,16.7,10.3,0.0,S1C_IW_GRDH_1SDV_20260808T212307_20260808T212332_008909_011AC7_0D06_COG
2026-08-08,SENTINEL-1C,8909,61,descending,13.7,0.0,0.0,S1C_IW_GRDH_1SDV_20260808T212217_20260808T212242_008909_011AC7_9A5C_COG
2026-08-08,SENTINEL-1C,8909,61,descending,20.1,0.0,0.0,S1C_IW_GRDH_1SDV_20260808T212152_20260808T212217_008909_011AC7_65AB_COG
2026-08-08,SENTINEL-1C,8902,54,ascending,0.0,0.0,0.0,S1C_IW_GRDH_1SDV_20260808T092206_20260808T092220_008902_011A86_B5F3_COG
2026-08-07,SENTINEL-1D,4018,127,ascending,76.5,36.4,0.0,S1D_IW_GRDH_1SDV_20260807T093129_20260807T093154_004018_0074E6_BDA2_COG
2026-08-07,SENTINEL-1D,4018,127,ascending,60.5,55.6,0.0,S1D_IW_GRDH_1SDV_20260807T093104_20260807T093129_004018_0074E6_FC19_COG
2026-08-07,SENTINEL-1D,4018,127,ascending,49.7,31.3,0.0,S1D_IW_GRDH_1SDV_20260807T093034_20260807T093104_004018_0074E6_EF16_COG
2026-08-06,SENTINEL-1C,8880,32,descending,9.0,6.3,0.0,S1C_IW_GRDH_1SDV_20260806T214006_20260806T214029_008880_0119DE_C05B_COG
2026-08-06,SENTINEL-1C,8880,32,descending,31.5,17.9,0.0,S1C_IW_GRDH_1SDV_20260806T213941_20260806T214006_008880_0119DE_D2A0_COG
2026-08-06,SENTINEL-1C,8880,32,descending,77.6,6.7,0.0,S1C_IW_GRDH_1SDV_20260806T213916_20260806T213941_008880_0119DE_0868_COG
2026-08-06,SENTINEL-1C,8880,32,descending,83.6,0.0,0.0,S1C_IW_GRDH_1SDV_20260806T213851_20260806T213916_008880_0119DE_A949_COG
2026-08-06,SENTINEL-1C,8880,32,descending,19.0,0.0,0.0,S1C_IW_GRDH_1SDV_20260806T213826_20260806T213851_008880_0119DE_7F11_COG
2026-08-02,SENTINEL-1D,3945,54,ascending,54.2,0.0,0.0,S1D_IW_GRDH_1SDV_20260802T092415_20260802T092440_003945_00725D_A54D_COG
2026-08-02,SENTINEL-1D,3945,54,ascending,62.1,0.0,0.0,S1D_IW_GRDH_1SDV_20260802T092350_20260802T092415_003945_00725D_524F_COG
2026-08-02,SENTINEL-1D,3945,54,ascending,45.3,26.7,0.0,S1D_IW_GRDH_1SDV_20260802T092325_20260802T092350_003945_00725D_17B9_COG
2026-08-02,SENTINEL-1D,3945,54,ascending,69.3,60.2,0.0,S1D_IW_GRDH_1SDV_20260802T092300_20260802T092325_003945_00725D_B10F_COG
2026-08-02,SENTINEL-1D,3945,54,ascending,46.5,32.1,0.0,S1D_IW_GRDH_1SDV_20260802T092231_20260802T092300_003945_00725D_3B05_COG
